Genre,Year,Stream
Rock,1992,181537653
Dance/Electronic,1998,106645404
Pop,2017,174115231
Pop,2015,174115231
Dance/Electronic,1983,989478518
Dance/Electronic,1983,93672131
Rock,2005,41097163
Rock,1976,70886206
Pop,2014,144244482
Rock,1980,91357177
Dance/Electronic,2016,1089163472
Dance/Electronic,2016,501582439
Dance/Electronic,2015,454972089
Dance/Electronic,2011,98685187
Rock,2012,463086
Rock,1970,117551068
Dance/Electronic,1997,129338689
Dance/Electronic,1997,98419201
Dance/Electronic,1997,109366004
Rock,1977,9329896
Rock,1976,9329896
Indie/Folk,2006,394548991
Indie/Folk,2006,22029829
Country,2000,2431314
Dance/Electronic,2017,38939494
R&B/Soul,2004,23827245
Pop,1980,64000309
Dance/Electronic,2017,33895678
Indie/Folk,2005,887369479
Pop,2014,183969494
Dance/Electronic,2017,5252743
Dance/Electronic,2013,726264420
Dance/Electronic,2013,726264420
Dance/Electronic,2014,10008636
Dance/Electronic,2017,143547079
Rock,1994,40778545
Indie/Folk,1984,40778545
Pop,2009,40778545
Rock,1971,784067661
Rock,1970,556875980
Rock,1969,493245427
Rock,1971,297595067
Indie/Folk,2013,1944651744
Indie/Folk,2014,1944651744
Pop,2018,12011062
Rock,2004,1646743223
Rock,2004,578122090
R&B/Soul,2017,431311658
Rock,2008,431311658
Dance/Electronic,2018,559384950
Pop,2013,165066980
Dance/Electronic,2015,233212157
R&B/Soul,2006,694280349
R&B/Soul,2006,414914866
R&B/Soul,2006,372312004
R&B/Soul,2006,302457737
R&B/Soul,2006,172350115
Rock,1978,0
Rock,1985,0
Rock,1980,0
Rock,1985,0
Rock,1985,0
Rock,1985,29767346
Rock,1985,0
Rock,1980,0
Pop,2017,186369505
Dance/Electronic,2018,713211866
Dance/Electronic,2019,713211866
Dance/Electronic,2018,559384950
Dance/Electronic,2019,223322925
Rock,2008,1044029601
Rock,2008,654228901
Rock,2010,159117136
Dance/Electronic,2017,187288984
Rock,1994,353123597
Indie/Folk,1984,353123597
Pop,2009,353123597
Metal,2015,47682619
Rock,2004,881477862
Rock,2004,362387670
Rock,2012,66191071
Rock,2004,48776995
Rock,2004,52383791
Metal,2003,749278645
Metal,2003,410612015
Rock,1991,66098488
Pop,1983,51165292
R&B/Soul,2016,51165292
R&B/Soul,2015,51165292
Dance/Electronic,2010,51165292
Pop,2011,247501664
Rock,2006,130647207
Rock,1977,350860668
Rock,1980,162514866
Rock,1985,0
