Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
Love Me Again,2014,0,0.5,0.89,0.1,0.04,0.21
Latch,2014,0.02,0.5,0.73,0.09,0.17,0.52
Adore You,2014,0.11,0.58,0.66,0.11,0.03,0.2
Love Never Felt So Good,2014,0.13,0.78,0.72,0.07,0.04,0.71
Burn,2014,0.31,0.56,0.78,0.11,0.04,0.33
She Looks So Perfect,2014,0,0.49,0.95,0.33,0.13,0.44
Fancy,2014,0.09,0.91,0.72,0.05,0.07,0.38
Talk Dirty (feat. 2 Chainz),2014,0.03,0.76,0.65,0.31,0.23,0.76
Gorilla,2014,0.45,0.72,0.54,0.1,0.04,0.64
human,2014,0.13,0.44,0.49,0.11,0.04,0.25
Young Girls,2014,0.46,0.56,0.75,0.21,0.03,0.5
Wiggle (feat. Snoop Dogg),2014,0.08,0.7,0.62,0.16,0.25,0.72
Love Runs Out,2014,0.17,0.72,0.93,0.08,0.06,0.74
This Is How We Do,2014,0.02,0.69,0.64,0.15,0.05,0.8
Mmm Yeah (feat. Pitbull),2014,0,0.71,0.92,0.27,0.04,0.98
A Little Party Never Killed Nobody (All We Got),2014,0.01,0.76,0.62,0.09,0.18,0.52
#SELFIE,2014,0.01,0.79,0.92,0.08,0.25,0.66
Partition,2014,0.03,0.41,0.44,0.31,0.29,0.17
Birthday,2014,0.09,0.72,0.67,0.11,0.07,0.84
G.U.Y.,2014,0.01,0.62,0.92,0.12,0.04,0.57
Stay The Night - Featuring Hayley Williams Of Paramore,2014,0.11,0.6,0.74,0.09,0.04,0.46
"Let It Go - From ""Frozen / Single Version",2014,0.03,0.5,0.66,0.27,0.04,0.25
Wings,2014,0.08,0.47,0.71,0.16,0.03,0.22
Can't Remember to Forget You (feat. Rihanna),2014,0.12,0.69,0.81,0.14,0.07,0.82
Shot Me Down (feat. Skylar Grey) - Radio Edit,2014,0.06,0.35,0.77,0.12,0.05,0.04
Say Something,2014,0.87,0.45,0.15,0.09,0.03,0.09
A Sky Full of Stars,2014,0.01,0.55,0.68,0.21,0.03,0.16
Come Get It Bae,2014,0.27,0.93,0.8,0.1,0.08,0.9
Chandelier,2014,0.02,0.29,0.78,0.07,0.07,0.62
XO,2014,0.17,0.47,0.79,0.31,0.26,0.21
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],2014,0,0.6,0.94,0.1,0.07,0.55
Not About Angels,2014,0.97,0.41,0.14,0.09,0.04,0.23
Drunk in Love,2014,0.01,0.59,0.62,0.18,0.05,0.4
Anaconda,2014,0.07,0.96,0.6,0.21,0.18,0.65
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,2014,0.07,0.68,0.81,0.34,0.06,0.64
La La La (Brasil 2014) (feat. Carlinhos Brown),2014,0.18,0.8,0.82,0.35,0.04,0.61
Tee Shirt - Soundtrack Version,2014,0.84,0.68,0.34,0.09,0.03,0.56
Words as Weapons,2014,0.28,0.53,0.35,0.14,0.03,0.19
You're Mine (Eternal),2014,0.28,0.63,0.58,0.38,0.07,0.56
Sheezus,2014,0.15,0.78,0.5,0.11,0.04,0.39
Cannonball,2014,0.02,0.56,0.82,0.19,0.05,0.57
It's On Again - Main Soundtrack,2014,0.1,0.64,0.54,0.25,0.11,0.53
I Luh Ya Papi,2014,0.45,0.74,0.73,0.12,0.42,0.59
Not a Bad Thing,2014,0.27,0.59,0.73,0.38,0.06,0.46
Thinking out Loud,2015,0.47,0.78,0.45,0.18,0.03,0.59
I'm Not The Only One,2015,0.53,0.68,0.49,0.08,0.04,0.49
The Hills,2015,0.07,0.58,0.56,0.14,0.05,0.14
Love Yourself,2015,0.84,0.61,0.38,0.28,0.44,0.52
Uptown R&B/Soul,2015,0.01,0.86,0.61,0.03,0.08,0.93
Take Me To Church,2015,0.63,0.57,0.66,0.12,0.05,0.44
Sugar,2015,0.06,0.75,0.79,0.09,0.03,0.88
Sorry,2015,0.08,0.65,0.76,0.3,0.05,0.41
FourFiveSeconds,2015,0.88,0.58,0.27,0.13,0.05,0.35
"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015,0.25,0.26,0.61,0.13,0.05,0.28
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2015,0.39,0.66,0.38,0.1,0.03,0.44
What Do You Mean?,2015,0.59,0.85,0.57,0.08,0.1,0.79
Stitches,2015,0.02,0.75,0.75,0.05,0.07,0.76
Want to Want Me,2015,0.01,0.78,0.68,0.11,0.06,0.66
My Dance/Electronic,2015,0.02,0.69,0.7,0.13,0.05,0.74
Waves - Robin Schulz Radio Edit,2015,0.01,0.83,0.51,0.08,0.04,0.45
Night Changes,2015,0.86,0.67,0.52,0.12,0.04,0.37
How Deep Is Your Love,2015,0.04,0.74,0.87,0.39,0.07,0.34
Never Forget You,2015,0,0.58,0.73,0.27,0.05,0.28
Love Me Harder,2015,0.01,0.47,0.71,0.08,0.03,0.24
Animals,2015,0,0.28,0.74,0.59,0.09,0.33
Blame,2015,0.03,0.41,0.86,0.34,0.08,0.35
Worth It,2015,0.06,0.88,0.77,0.12,0.09,0.59
Break Free,2015,0.01,0.69,0.7,0.2,0.05,0.28
Don't,2015,0.01,0.81,0.61,0.64,0.07,0.85
Elastic Heart,2015,0.01,0.42,0.79,0.15,0.05,0.5
Rather Be (feat. Jess Glynne),2015,0.16,0.8,0.59,0.19,0.04,0.55
Hello,2015,0.34,0.48,0.45,0.09,0.03,0.29
Dear Future Husband,2015,0.38,0.66,0.78,0.32,0.19,0.83
Fourty Three THousand Seven Hundred Sixty Six,2015,0.01,0.75,0.71,0.13,0.13,0.56
The Heart Wants What It Wants,2015,0.05,0.62,0.79,0.14,0.04,0.62
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",2015,0.24,0.6,0.73,0.33,0.15,0.53
Genie In a Bottle,2015,0.21,0.63,0.8,0.14,0.16,0.91
Company,2015,0.13,0.59,0.8,0.08,0.06,0.43
Sing,2015,0.3,0.82,0.67,0.06,0.05,0.94
Jealous - Remix,2015,0.01,0.68,0.71,0.44,0.08,0.45
Really Don't Care,2015,0.12,0.71,0.73,0.19,0.09,0.85
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",2015,0.09,0.83,0.61,0.29,0.07,0.71
Only Love Can Hurt Like This,2015,0.1,0.57,0.89,0.33,0.08,0.31
Heartbeat Song,2015,0.01,0.49,0.8,0.06,0.05,0.48
Up,2015,0.02,0.69,0.85,0.1,0.03,0.64
Trumpets,2015,0.56,0.63,0.7,0.1,0.24,0.64
Runnin' (Lose It All),2015,0.01,0.32,0.85,0.48,0.08,0.08
Same Old Love,2015,0.02,0.67,0.59,0.21,0.03,0.44
I Want You To Know,2015,0.01,0.58,0.85,0.14,0.06,0.37
Lips Are Movin,2015,0.05,0.78,0.83,0.11,0.05,0.95
I'll Show You,2015,0.05,0.36,0.61,0.18,0.1,0.08
Here,2015,0.08,0.38,0.82,0.08,0.1,0.33
I Lived,2015,0.07,0.59,0.85,0.27,0.04,0.34
Fireball (feat. John Ryan),2015,0.09,0.69,0.94,0.05,0.06,0.79
Easy Love,2015,0.18,0.68,0.94,0.12,0.06,0.65
The Feeling,2015,0.08,0.53,0.81,0.1,0.06,0.21
I Really Like You,2015,0.01,0.62,0.81,0.22,0.04,0.6
BO$$,2015,0.01,0.81,0.87,0.05,0.11,0.74
Sugar,2015,0.06,0.75,0.79,0.09,0.03,0.88
Focus,2015,0.27,0.67,0.88,0.44,0.24,0.79
All About That Bass,2015,0.05,0.81,0.88,0.11,0.05,0.96
On My Mind,2015,0.26,0.7,0.71,0.09,0.05,0.74
Love Me Like You,2015,0.21,0.79,0.67,0.28,0.04,0.85
Broken Arrows,2015,0.05,0.63,0.67,0.1,0.05,0.29
Booty,2015,0,0.71,0.95,0.26,0.05,0.4
What Do You Mean? - Acoustic,2015,0.79,0.77,0.36,0.1,0.04,0.76
Mark My Words,2015,0.88,0.38,0.26,0.17,0.03,0.52
Lay It All on Me,2015,0.14,0.67,0.75,0.19,0.04,0.48
American Oxygen,2015,0.05,0.39,0.75,0.33,0.09,0.48
Bang Bang,2015,0.27,0.71,0.75,0.38,0.09,0.73
Reality - Radio Edit,2015,0.02,0.71,0.7,0.07,0.03,0.6
Alive,2015,0.25,0.51,0.76,0.11,0.05,0.44
Sugar (feat. Francesco Yates),2015,0.02,0.64,0.82,0.16,0.06,0.64
Been You,2015,0.02,0.74,0.78,0.32,0.07,0.86
Prayer in C - Robin Schulz Radio Edit,2015,0.02,0.76,0.89,0.62,0.03,0.78
See You Again (feat. Charlie Puth),2015,0.37,0.69,0.48,0.06,0.08,0.28
Heroes (we could be),2015,0.04,0.52,0.75,0.24,0.06,0.35
"Feel The Light - From The ""Home"" Soundtrack",2015,0.33,0.47,0.6,0.09,0.05,0.04
Perfect,2015,0.06,0.65,0.82,0.12,0.08,0.4
